attribute,total,filled,null_count,retrievable,not_retrievable
weight_g,812,26,786,62,724
width_mm,812,45,767,84,683
length_mm,812,45,767,78,689
height_mm,812,46,766,101,665
color,812,120,692,64,628
write_speed_mb_s,812,122,690,87,603
read_speed_mb_s,812,151,661,122,539
memory_type,812,210,602,43,559
vram_gb,812,229,583,2,581
chipset_name,812,231,581,0,581
model_number,812,334,478,302,176
storage_connection_type,812,413,399,46,353
form_factor,812,417,395,61,334
interface_type,812,436,376,64,312
storage_gb,812,571,241,6,235
bus_type,812,628,184,154,30
model,812,748,64,47,17
brand,812,785,27,24,3
